Lebensmittelbezeichnung;Energie;Protein;Fett;Kohlenhydrate;Ballaststoffe
Dinkelknusperbrot;395;13,34;5,7;69,3;6,6
Corned Beef, deutsches, mit Schweineschwarten Konserve;159;25,1;6,4;0,29;0,08
Mehlmischung für Brot glutenfrei;342;4,1;0,7;78,2;3
Forelle tiefgefroren, gedünstet;118;17,768;5,048;0;0
Linse reif, gekocht;119;9,083;0,7;15,5;7,23
"Käsebrot überbacken (""Welsh rarebit"")";319;19,2;17,69;18,64;2,9
Konfitüre extra, mit Fruchtzucker und Süßungsmitteln;157;0,4;0,2;36,9;1,1
Grundsuppe hell;39;0,7;2,6;3,13;0,19
Marmorkuchen mit Kirschen (Rührmasse);286;5,51;14,79;31,6;2,02
Gemüsesaft aus Speisezwiebel;25;0,983;0,12;4,81;0,1
Toastschnitten mit Schinkencreme, gebacken;210;10,01;11,52;15,46;1,4
Sushi-Reis (Grundrezept);104;2,306;0,18;22,7;0,7
Wasabi-Paste Konserve;94;5,4;2,23;10,189;4,1
Hirsebratlinge gebraten;192;6,6;12;13,4;1,7
Erdbeeren gezuckert;51;0,789;0,385;9,505;1,9
Kaiserschmarren (mit Milch 3,5 % Fett) gebraten;250;8,1;13,2;23,4;1,4
Rind Fleisch, grob entsehnt, sichtbarer Fettanteil max. 10 % (R III) roh;190;19,93;12,25;0;0
Johannisbeersaft schwarz;55;1,238;0,176;10,01;0,4
Nonpareille;388;0,129;0,024;91,4;0,3
Kalb Schnitzel (Keule) gegrillt;116;26,854;0,915;0;0
Buttermilchkaltschale gesüßt;68;3,2;0,6;11,4;0,7
Wildschwein Fleisch, gebraten ohne Fett (Pfanne);214;28,068;11,273;0;0
Frankfurter grüne Kräutersauce;144;2,8;12,9;3,7;0,1
Gemüsepaprika gelb, gekocht;28;0,809;0,202;4,471;2,299
Schokoladenfondant;383;1,8;10,6;69;1,99
Rhabarber-Streuselkuchen (Mürbeteig);260;3,77;11,74;32,6;3,05
Schinkenhörnchen (Quarkblätterteig);437;11,62;32,62;23,15;1,7
Schinkenwurst roh;386;21,84;33,11;0,18;0,1
Meerrettichschaum;174;3,21;15,6;4,8;0,61
Eiserkuchen (Rührmasse);292;5,33;11,74;40,56;1,17
Speisequarkzubereitung mind. 10 % Fett i. Tr., mit Kräutern;77;9,6;2,27;3,8;0,1
Schinkentorte;118;19,1;3,8;1;0,4
Knuspermüslimischung, klassisch, gesüßt;421;9;15,95;56,4;7,7
Weizenvollkornknäckebrot mit Ölsamen;433;16,4;20,3;40;12,2
Weizenmischbrötchen mit Sonnenblumenkernen;303;9,6;5,25;51;5,95
Risotto gedünstet mit Gemüsebrühe;153;2,87;4,1;25,8;0,9
Rinderkraftbrühe mit Gemüse;23;0,9;1,5;1,2;0,7
Weizenmischbrot mit Ölsamen;236;7,98;3,01;41;6,67
Gulasch (mit Schweinefleisch);150;18,2;8,3;0,6;0,2
Languste gekocht;76;15,926;1,358;0;0
Teltower Rübchen gedünstet, mit Sahne;77;0,95;5;5,81;2
Milchmischgetränk 1,5 % Fett, mit Kakao/Schokolade, gesüßt, angereichert mit Vitaminen;63;3,61;1,6;8,4;0,386
Butterpilz gedünstet;44;3,589;0,507;4,6;6,31
Grünkern Grütze, gekocht;92;3,08;0,74;16,44;3,38
Kalbsbraten ohne Sauce;114;21,5;2,2;1,6;0,5
Steinpilze gebraten mit Tomaten;63;5,25;1,74;4,27;6,3
Nusskuchen (Sandmasse);500;6,84;31,79;45,4;2,6
Schokoladenflammeri/Schokoladenpudding;126;3,88;4,04;18,3;0,2
Sojaschnetzel/Sojagranulat, texturiert, eingeweicht, gebraten ohne Fett (Pfanne);99;14,17;1,8;3,96;5,31
Pilaw (Reis mit Zwiebeln und Butter);167;3,14;4,7;27,4;1,1
Gemüsesaft aus Gurke;12;0,903;0,16;1,57;0,1
Roggenmischbrot mit Ölsamen;236;7,52;2,99;41;7,47
Emmer ganzes Korn, gekocht;182;6,99;1,18;33,77;4,24
Nusskranz (Quark-Öl-Teig);405;9,6;21,25;42,1;3,1
Gurke gekocht;17;1,086;0,205;2,01;1
Schokobrötchen (Hefeteig);370;8,31;14,33;50;4,08
Vanillesahneeis;292;3,6;25,06;13,04;0
Colabier (Pilsner Bier mit Cola);40;0,211;0;6,259;0
Schweinebraten (Pulled Pork) Konserve;197;26,8;7,6;5;0,3
Matjes mit Zwiebeln;170;14;12,01;0,29;0,1
Schwein Kotelett (Rücken/cranial) mariniert, gegrillt;258;24,66;17,59;0,16;0,2
Weizenvollkornknäckebrot mit Ölsamen und Hartkäse;442;19,3;20,8;39;10,79
Basler Leckerli;383;6,15;6,9;72,3;3,4
Mehrkornbrot mit Ölsamen;248;7,94;3,62;42;7,67
Käse-Grießnockerl;381;13,75;26,89;20,08;1,44
Rind Keule, geschmort ohne Fett;188;28,6;8,2;0;0
Laugengebäck (Hagelsalz entfernt);283;9,203;4,145;50;3,775
Schaf Filetsteak, gebraten ohne Fett (Pfanne);156;31,38;3,44;0;0
Fruchtsaftgetränk Apfel;33;0,029;0;8,174;0,093
Lamm Bug/Schulter, gebraten ohne Fett (Ofen);155;26,871;5,257;0;0
Butterzwieback;421;13,21;9,51;68;5,22
Schokoladensauce mit Kuvertüre und Sahne;317;3,05;22,44;24,3;2,76
Hecht gefüllt, gebacken;104;19;2,6;1;0,14
Braunschweiger Mettwurst, fettreduziert;203;21,54;12,95;0,12;0,07
Gulasch Esterhazy (mit Rindfleisch);135;12,04;8,2;2,5;1
Hirsebrei ungesüßt, mit Mandeldrink;92;3,11;1,9;15,12;0,8
Rheinische Bratwurst;215;10,92;18,96;0,08;0,04
Vollkornbrot mit Kürbiskernen;231;8,54;3,23;37;10,03
Weizen ganzes Korn, gekocht;176;6,8381;0,927;31,6;7,077
Heringsfilet mehliert, gebraten;188;18,4;10,37;5,19;0,39
Quarktaschen (Quark-Öl-Teig);308;9;11,4;41,1;1,9
Vollmilchschokolade gefüllt mit Mokka-/Kaffeecreme;538;6,7;33,6;51,1;1,7
Laugengebäck mit Sonnenblumenkernen;276;9;3,58;50;3,51
Rosenkohl gedünstet (mit Fett und Salz);64;3,35;4;1,87;3,2
Vollkorncroissant (Plunderteig);419;8,5;24,02;39;6,03
Gans Schenkel, mit Haut, geschmort ohne Fett;195;22,57;11,618;0;0
Rind Hackfleisch, roh;224;19,102;16,39;0;0
Vanillesauce;118;4;4,61;15,16;0,035
Reis unpoliert, gedünstet (mit Fett und Salz);169;2,851;6,193;24,78;1,4
Spargel gebacken;33;2,306;0,184;4,69;1,6
Erdbeerbowle;67;0,227;0,086;3,56;0,4
Rosinen-Mandel-Schnecken (Hefeteig);370;7,7;15;49;3,6
Gyros (Schweinefleisch) gebraten;230;24,35;14,48;0,5;0,3
Buchteln (Hefeteig);331;7,32;12,46;46;2,76
Hähnchen ganz, entbeint, mit Haut, gebraten ohne Fett (Ofen);208;24,17;12,37;0;0
Schokoladenauflauf;292;7,1;16,81;27,2;1,6
Mandelhörnchen (Rührmasse);344;7,82;19,06;34,2;2,3
Fleischersatz gluten-, milch- und sojahaltig;128;17;2,7;8,7;0,3
Hähnchenbrustfilet im eigenen Saft, Konserve;117;24,65;1,91;0,29;0,08
Rhabarberkaltschale gebunden mit Stärke;41;0,299;0,07;8,556;1,586
Nährzwieback;421;12,82;9,52;69;4,14
Schokoladenbrezeln (Mürbeteig);482;7,88;26,44;50,6;5,22
Weizen Flocken, gekocht;56;2,1679;0,31;10,02;2,244
Kalb Roulade (Keule) tiefgefroren;89;20,7;0,72;0;0
Spargel gekocht (mit Fett und Salz);72;2,013;4,88;4,11;1,4
Dinkelbrot mit Ölsamen;246;9,14;3,97;41;5,09
Dinkelzwieback ungesüßt;410;13,77;7,17;69;7,18
Karpfen blau (im Essigsud pochiert);96;13,744;4,2;0,206;0,111
Essigmarinade für Salat;399;0,09;43,4;0,34;0,1
Speiseeis (Schoko, Vanille) gemischt;213;3;10,32;25,94;1,38
Roggen Backschrot, Type 1800, gekocht;47;1,4;0,21;8,43;3,09
Weizenmischbrot mit Kümmel;220;7,03;0,84;43;6,36
Pute Fleisch, ohne Haut, gebraten ohne Fett (Ofen);146;30,067;2,9;0;0
Wespennester (Eiklarmasse);466;11;23,62;49,69;5,5
Entenbrust gebraten im Ofen (mit Fett und Salz);368;28,68;28,09;0,03;0,01
Speisezwiebel tiefgefroren;37;1,284;0,167;6,68;1,6
Milchschokolade mit Mandel-Nougat;519;6,52;28,95;56,44;3,1
Weizenmischbrötchen mit Ölsamen;294;9,2;3,96;52;6,19
Wildreismischung gedünstet (mit Fett und Salz);170;4,438;5,61;24,78;1,4
Teegebäck (Mürbeteig);476;7,51;23,68;56,8;2,85
Chinakohl gedünstet, mit geriebenem Käse;56;2,1;4,32;1,4;1,7
Butterkekse/Butterplätzchen, kakaohaltig (Vollkornmürbeteig);522;7,79;30,9;49,4;7,41
Schalotte gebraten ohne Fett (Pfanne);53;3,2;0,2;5,1;8,61
Pute Brust, ohne Haut, mariniert, roh;127;21,76;3,6;1,66;0,1
Trüffel-Pralinen;547;7,12;37,77;40;8,44
Schwein Bauch (wie gewachsen) mariniert, roh;339;16,29;30,32;0,11;0,2
Sahneschokolade gefüllt mit Karamell;541;5,03;30,99;57,2;2,37
Schwein Bratenfleisch (Nuss) gebraten ohne Fett (Ofen);143;29,54;2,78;0;0
Eierteigwaren glutenfrei, roh;369;8,06;3,599;74,7;3,004
Fleischspieße (Kalb- und Schweinefleisch) gegrillt;120;12,69;6,02;3,17;1
Karamellsauce;138;3,5;4,17;21,54;0,019
Milchmischgetränk 3,5 % Fett, mit Kakao/Schokolade, gesüßt;78;3,7;3,5;7,6;0,386
Frühlingszwiebel/Lauchzwiebel (ohne Laub) geschmort ohne Fett;41;1,1;0,186;7,49;1,8
Getreideflakes gesüßt;348;9,7;1,6;70,2;7
Seehecht pochiert;68;13,299;1,59;0;0
Spiegelei gebraten;210;13,419;17,193;0,353;0
Roggenvollkornbrot mit Buttermilch;190;5,77;0,88;34;11,63
Pflaumensuppe passiert;72;0,29;0,165;16,6;1,7
Kräuteressig;27;0;0;0,003;0
Schafskäse (Feta) mit Tomaten und Oliven gebacken;208;9,1;17,9;1,71;0,6
Schwein Frikadelle, roh;205;13,17;15,04;4;0,5
Bohne grün, gebraten ohne Fett (Pfanne);32;2,572;0,276;3,9;2,172
Rumkugeln;394;2,89;6,3;80;1,769
Augenbohne reif, gekocht;114;8,6;0,47;16,157;3,9
Weizen Grütze, gekocht;98;3,71;0,41;19,15;1,34
Alkopops;66;0;0;8,93;0
Haselnuss-Dreispitz (Mürbeteig);507;9,6;27,82;53;3,1
Schinkenmettwurst;436;20,47;39,27;0,18;0,1
Gazpacho (Spanische Gemüsesuppe);88;1,5;5,7;6;1,7
Felchen/Maräne/Renke/Schnäpel, gebraten ohne Fett (Pfanne);132;24,492;3,611;0;0
Mettwurst luftgetrocknet;262;25,15;17,92;0;0,12
Schaf Kochfleisch (Brust, fett) gekocht;480;17,5;45,5;0;0
Felchen/Maräne/Renke/Schnäpel, gedünstet;102;18,199;3,021;0;0
Weizenmischbrötchen mit Kümmel und Salz;288;8,7;2,69;54;5,99
Sardelle gebraten ohne Fett (Ofen);231;23,869;15,1;0;0
Karotte/Möhre, gedünstet;42;0,875;0,417;6,74;3
Schlagsahne gesüßt, mit Gelatine gebunden, für Gebäck/Torten;313;3,8;29,6;7,8;0
Salzburger Nockerl gebacken;228;8,4;12,58;19,9;0,29
Buchweizenbrot glutenfrei;208;8,9;5,1;28,6;5,1
Rostbratwurst;178;15,9;12,66;0,08;0,04
Mayonnaise, gestreckt mit Joghurt;566;2,5;60,9;1,26;0,1
Fischklößchen mit Rotbarsch gegart;95;11,6;3,73;3,564;0,279
Dinkelvollkornknäckebrot mit Müslizutaten, gesüßt;416;14,2;14,5;52;9,7
Gemischter Salat ohne Salatmarinade;22;1,6;0,2;2,4;1,7
Schwarzwälder Bauernwürstle;365;18,49;32,31;0,1;0,06
Hammel Bug/Schulter, geschmort ohne Fett;374;23,156;31,25;0;0
Getreideflakes gesüßt, mit Nüssen, angereichert mit Vitaminen und Mineralstoffen;370;10,8;6,93;60,9;9,6
Porridge ungesüßt, mit Milch 3,5 % Fett;134;6,29;4,9;15;2,232
Pfefferschote grün, gebraten ohne Fett (Pfanne);69;3,4;0,3;11,67;2,5
Pute Fleisch, mit Haut, geschmort ohne Fett;172;26,549;7,286;0;0
Sahne-Meerrettich Konserve;289;3,596;25,509;9,555;2,315
Mürbeteig gesüßt, roh;432;6,89;22,28;49,6;2,67
Eingestreute Grießsuppe;19;0,74;0,1;3,6;0,2
Schaf Schnitzel (Keule, mager) gebraten ohne Fett (Pfanne);168;31,1;4,87;0;0
Baiser;387;6,3;0,019;90,5;0
Weizenknusperbrot;381;13,2;3,4;71,2;6,28
Puten-Aufschnitt-Grundbrät mit Schweinefleisch;161;14,12;11,6;0,09;0,05
Nusshörnchen (Hefeteig);430;8,4;22,4;47;3,2
Irish Stew (Weißkraut-Kartoffel-Eintopf mit Hammelfleisch);113;4,76;6,9;7,2;1,6
Wels geräuchert;138;16,517;8;0;0
Speiseeis (Nuss, Schoko) gemischt;236;3,51;11,64;28;2,09
Porridge ungesüßt, mit Milch 3,5 % Fett und Kakaopulver;134;6,36;4,92;14,9;2,214
Buchweizen Schrot, gekocht;43;1,7;0,39;7,8;0,72
Hirsch Fleisch, gekocht;171;32,617;4,453;0;0
Roastbeef gebraten im Ofen, ohne Sauce;180;28,72;7,27;0,02;0,01
Schokoladen-Muffins (Rührmasse);361;7,4;16,54;43,5;4,41
Rhabarberkuchen (Rührmasse) mit Baiser;240;3,6;11,55;28,5;2,44
Blumenkohl gedünstet (mit Fett und Salz);75;2,01;5,3;4,35;2,3
Kuchenboden/Tortenboden (Rührmasse);392;8,17;17,28;49,8;2,35
Perlzwiebel gebacken;39;1,36;0,176;7,08;1,6
Weizenmischbrötchen mit Sesam;292;9;3,43;53;6,11
Preiselbeerkompott;128;0,2895;0,223;30,134;1,217
Puddingpulver Vanille, ungezuckert;344;0,426;0,079;84,911;0,988
Wachsbohne gekocht;27;2;0,2;3,4;1,89
Hähnchen Unterschenkel, mit Haut, gegrillt;200;26,24;10,54;0;0
Perlhuhn Fleisch, mit Haut, tiefgefroren;152;23,4;6,45;0;0
Sahnewaffeln (Rührmasse);534;6,6;38,35;39,9;1,3
Roggenbrötchen mit Kümmel und Salz;268;8,19;2,83;48;8,71
Weinbrand-Kirschen;430;3,81;20,48;49,7;4,77
Mandelkränzchen (Rührmasse);409;10,6;20,28;44,2;3,7
Grüne Bohnen gedünstet;48;1,9;2,79;3,1;1,6
Apfelschmarren gebraten;215;5,2;9,93;25,1;2,05
Spargel gekocht;16;1,7;0,14;1,31;1,307
Zander gedünstet;76;17,647;0,62;0;0
Vollkornhefeteig für Pizza/Vollkornpizzateig, roh;250;8,71;4,37;40;8,01
Wels gebraten ohne Fett (Pfanne);139;17,1;7,8;0;0
Haferflocken-Nussplätzchen;517;9,699;35,161;37,9;4,9
Rind Vorderhesse, gekocht;149;24,904;5,445;0;0
Cocktail, Campari-Soda;56;0;0;5,7;0
Rindfleisch im eigenen Saft, mit Schweineschwarten, Konserve;217;34,44;8,6;0,44;0,12
Kalb Rücken, geschmort ohne Fett;130;26,195;2,795;0;0
Lammkoteletts mariniert, gegrillt;320;24,61;24,5;0,03;0,36
Gemüsesaft aus Rote Rübe/Rote Bete;37;1,08;0,08;7,76;0,2
Milchreis gesüßt, mit Reisdrink;166;1,92;4,07;30,1;0,6
Remoulade (Fertigprodukt);567;0,8;60,004;4,99;0,1
Hähnchen Leber, gebraten ohne Fett (Pfanne);159;24,36;6,1;1,765;0
Grießsuppe gesüßt, mit Milch 3,5 % Fett;107;4,09;3,45;14,74;0,24
Forelle blau (im Essigsud pochiert);121;15,73;5,9;0,21;0,114
Pflaumenmus;195;0,94;0,2;45,928;1,66
Zucker-Butter-Zimt-Füllung für Gebäck/Torten;549;0,509;35,229;57,388;0
Leiterchen/Rippchen/Schälrippchen, Kochpökelware;296;19,22;24,07;0,554;0
Weizenmischbrot mit Sonnenblumenkernen;237;7,97;3,12;41;6,36
Rinderragout;178;18,59;10,5;2,17;0,2
Hammel Herz, geschmort ohne Fett;213;30,113;10,3;0;0
Spirituose mit Anis, verdünnt mit Wasser;116;0;0;0;0
Romanesco gedünstet (mit Fett und Salz);77;2,04;5,5;4,46;2,4
Schweinesteak natur, gebraten;175;26,5;7,7;0,02;0,01
Weizenbrötchen mit Sonnenblumenkernen;298;9,6;3,39;55;4,24
Erdbeeren mit Schlagsahne;116;1,256;9,539;5,145;1,4
Stint tiefgefroren;85;17,4;1,7;0;0
Schweineschnitzel natur, gebraten;156;32,37;2,92;0,03;0,02
Himbeeren gezuckert;65;0,9;0,281;11;4,4
Kalbsrahmgulasch;165;15,04;11,1;1,06;0,1
Vollkornbrot;210;7,16;1,01;38;10,04
Vollkornknusperbrot;348;10,4;2,3;63,7;14,99
Perlzwiebel gebraten ohne Fett (Pfanne);53;1,835;0,238;9,54;2,2
Rindergeschnetzeltes;171;27,5;5,9;1,45;0,11
Käseknusperchen salzig (Mürbeteig);460;10,4;33,97;25,8;4,19
Speisequarkzubereitung < 10 % Fett i. Tr., mit Vanillezubereitung, gesüßt;104;6,89;0,11;18,26;0,025
Szegediner Gulasch (mit Schweinefleisch);89;7,8;4,3;3,1;1,9
Hartweizen Grieß, gekocht;159;6,02;0,67;31,05;2,18
Baguette glutenfrei;224;3,2;3,1;45;1,1
Teigwaren eifrei (mit Salz gekocht);145;5,4;0,7;28,596;1,489
Rotbarschragout;106;10,7;4,6;1,4;0,6
Haferbratlinge vegan, gebraten;265;8,01;15,6;20;6
Schwein Vordereisbein/Vorderhaxe, Kochpökelware, geräuchert;150;18,68;8,17;0,437;0
Cracker;495;8,84;24,13;58,5;4,31
Grießklößchen roh;132;6,64;5,28;14,09;0,8
Schwein Schnitzel (Oberschale) gebraten ohne Fett (Pfanne);144;31,015;2,235;0;0
Weizenvollkorntoastbrot;249;8,8;3,67;41;7,93
Joghurt-Dip mit Kräutern;93;3,64;6,6;4;0
Rollmops mariniert, abgetropft;146;11,9;10,11;0,7;0,2
Weizenbaguette mit Nüssen;277;8,7;4,75;48;3,8
Gemüsemischung Erbsen-Karotten, roh;64;3,4;0,44;9,388;4
Tofu gebraten (mit Fett und Salz);199;18,07;13,07;1,31;1,63
Nussprinten schokoliert;492;8;27,7;50,4;4,5
Pfifferling getrocknet;243;36,271;2,514;5,111;30,334
Roggenvollkornknäckebrot mit Ölsamen;338;10,17;3,62;56,6;19,3
Edelkrebs/Flusskrebs, tiefgefroren;64;15;0,47;0;0
Forelle Müllerinart (mehliert, gebraten);174;21,28;8,3;2,64;0,36
Kartoffeln mit Schale gekocht;87;2,09;0,102;18,82;1,448
Essigmarinade warm, für gekochte Salate;140;0,16;14,2;0,77;0,01
Käsegebäck salzig (Quarkmürbeteig);418;10,77;25,74;34,4;2,41
Weizenvollkornbrot mit Kürbiskernen;237;9,7;3,31;38;7,87
Schwein Filetmedaillon, mariniert, roh;138;20,8;6;0,11;0,2
Brioches (Hefeteig) ungefüllt;427;10,4;25,1;38,4;2,8
Apfelwaffeln (Rührmasse);384;7,3;26,39;28,1;2,6
Paprika-Gurkengemüse gedünstet;49;1,06;2,5;4,54;1,6
Gemüseamaranth gebraten ohne Fett (Pfanne);30;3,67;0,49;1,39;2,7
Apfel-Streuselkuchen (Hefeteig);189;3,3;5,99;29;2,66
Fleischwurst fettreduziert;104;13,9;5,31;0,12;0,07
Vollmilchschokolade gefüllt mit Fruchtcreme;550;4,3;35,3;51,1;1,57
Fruchtsaftschorle Weintraube;40;0,122;0;9,483;0,18
Roggenvollkornbrot mit Kürbiskernen;209;6,87;2,95;33;11,54
Sahnesauce süß;252;3,8;19,58;15,05;0,04
Kekse/Plätzchen, kakaohaltig (Rührmasse);521;7;29,27;55,7;3,19
Weizenbrötchen mit Ölsamen;300;9,8;3,96;54;4,43
Schokoladensahne für Gebäck/Torten;314;3,6;26;15,8;1,26
Ofenkartoffeln mit Zwiebeln;130;2,37;3,72;20,72;1,7
Schokoladencremeeis;216;4,5;11,77;22,5;0,94
Radler (Pilsner Bier mit Zitronenlimonade);38;0,211;0;5,744;0
Schaf Keule, fett, gebraten ohne Fett (Ofen);279;24,1;20,3;0;0
Mousse au chocolat, Milchbasis, gesüßt;167;4,6;7,2;20,3;1,2
Sahnejoghurt mind. 10 % Fett, gesüßt;152;4,43;8,163;14,575;0,006
Mais Grieß, gekocht;123;3,232;1,052;23,448;3,515
Johannisbeerkompott;74;1,002;0,139;14,61;2,4
Butterkuchen/Zuckerkuchen (Quark-Öl-Teig);454;8,33;25,97;45,2;3
Rinderleber gebraten;170;21,11;5,36;9,23;0,24
Knoblauch tiefgefroren;107;6,722;0,467;3;31,441
Weißbrot glutenfrei;224;3,2;3,1;45;1,1
Schwein Kamm, tiefgefroren;175;19,21;10,9;0;0
Schwarztee (Getränk) mit Milch 3,5 % Fett und Zucker;9;0,12;0,11;1,93;0
Rinderkraftbrühe nach schottischer Art mit Graupen;126;4,2;10,5;3,3;0,9
Bachsaibling gebraten ohne Fett (Pfanne);128;25,2;3,07;0;0
Pute Innereien, geschmort ohne Fett;210;26,6;11,51;0;0
Haferdrink gesüßt, aromatisiert, angereichert mit Vitaminen, Calcium und Jod;42;0,71;0,98;7,5;0,43
Mehlmischung eiweißarm, glutenfrei, natriumarm;336;0,431;0,137;82,667;1,19
Sachertortenboden;396;8,69;23,11;37,2;2,43
Quarkplinsen gebraten;257;10,59;13,87;21,57;0,97
Spargel gedämpft;30;2,9;0,4;3;1,3
Risotto mit Butter und Parmesan;163;4,93;4,9;24,4;0,9
Reh Keule, gegrillt;140;31,127;1,761;0;0
Zimtsterne (Eiklarmasse);473;14,3;27,149;39,89;5,8
Schwein Filetmedaillon, tiefgefroren;102;22,7;1,2;0;0
Gemüsepaprika rot, gekocht;24;1,037;0,1;3,312;2,4
Hähnchen ganz, entbeint, mit Haut, gegrillt;239;25,61;15,18;0;0
Bulgur gekocht (mit Fett und Salz);171;5,1;3,6;28,2;2,8
Schwein Kammsteak, tiefgefroren;175;19,21;10,9;0;0
Altbierbowle;48;0,552;0,078;5,282;0,4
Ente Fleisch, mit Haut, tiefgefroren;227;18,1;17,2;0;0
Zartbitter-/Halbbitterschokolade, gefüllt mit Pfefferminzcreme;486;3,97;19,36;61,7;5,56
Quinoa tricolore, gekocht;104;3,78;1,67;17,06;2,76
Champignon gebacken;40;5,08;0,381;4,1;2,6
Rührmasse/Rührteig, roh;358;6,73;16,76;44;1,86
Joghurtmarinade für Salat;114;3,07;8,84;3,83;0
Blätterteig (mit Ei) gebacken;617;8;46,64;39,69;2,9
Pilaw, Serbisches Reisfleisch;191;6,9;11,6;14;1,3
Schweineragout;187;16,6;12,3;2,1;0,6
Milchmischgetränk 1,5 % Fett, mit Kaffee und Süßungsmitteln;33;2,4;1;3,6;0,06285
Kasseler Kotelett gebraten;153;30,004;3,683;0;0
Biskuitboden;289;10,92;5,74;47,76;1,47
Corned Beef;142;21,7;6;0,28;0,09
Pastinake gebraten ohne Fett (Pfanne);109;4,9769;0,796;17,9;3,944
Milchsuppe gesüßt, gebunden mit Haferflocken;102;4,55;4,22;11,1;0,436
Nuss-Wasserbiskuitboden;344;9,15;11,12;50,7;2,1
Aufschnitt-Grundbrät fettreduziert;151;15,06;10,06;0,13;0,07
Rehkeule gebraten im Ofen (mit Fett und Salz);177;31,37;5,7;0,03;0,02
Milchmischgetränk < 1 % Fett, aromatisiert, mit Zucker und Süßungsmitteln;42;3,335;0,068;7,047;0,002
Tomate-Mozzarella (Caprese);185;7,22;15,9;2,51;0,6
Schwein Schinkenspeck, Rohpökelware, geräuchert;121;20,82;3,95;0,492;0
Nusskuchen vegan (Rührmasse);432;7,33;25,87;40,3;4,2
Vollkornmürbeteig süß roh;454;6,64;26,31;44,85;5,78
Quarkkeulchen (gerührter Hefeteig) gebraten;357;9,6;17,3;39;2,4
Joghurt fettarm, mind. 1,5 % bis max. 1,8 % Fett, mit Vanillezubereitung, gesüßt;82;3,275;1,142;14;0,012
Kaffeeersatz (Getränk);5;0,075;0,002;0,97;0,543
Apfel gedünstet;60;0,437;0,515;12;2,345
Rindfleisch in Gelee, Konserve;87;15,6;2,6;0,3;0,08
Rosenkohl gebacken;48;5,235;0,4;2,66;5,2
Frankfurter Leberwurst;291;13;26,32;0,54;0,1
Weizenmischbrot;207;8,61;1,515;37,326;4,572
Milchschokolade gefüllt mit Karamell;506;4,5;24;62,1;1,99
Rind Brustkern/Mittelbrust, Rohpökelware, geräuchert;189;17,369;13,078;0,492;0
Ente Fleisch, mit Haut, mariniert, roh;238;16,92;18,83;0,13;0,1
Bier mit Sekt;52;0,263;0;2,18;0
Sojadrink gesüßt, aromatisiert;58;3,01;2,212;5,69;1,64
Schokoladensauce;126;4,14;5,52;14,6;0,44
Eierlikör;294;4;7;27,1;0
Milchshake 3,5 % Fett, mit Kakao/Schokolade, gesüßt;78;3,7;3,5;7,6;0,386
Kuchenboden/Tortenboden (Mürbeteig, feiner);488;7;27,53;51,67;2,63
Roggenbrot;220;6;1,235;43,04;6,46
Rind Rostbraten, gebraten ohne Fett (Ofen);146;26,607;4,395;0;0
Heilbutt/Weißer Heilbutt, gebraten ohne Fett (Pfanne);155;23,869;6,56;0;0
Grießnockerln, Suppeneinlage;364;8,79;25,86;23,07;1,65
Milchshake 3,5 % Fett, aromatisiert, gesüßt;78;3,38;3,33;8,5;0,002
Omelett gebraten;197;12,23;16,21;0,66;0
Plunderteig roh;386;7,08;22,77;37;2,32
Weizenbaguette;253;8,3;1,31;50;3,67
Matjes-Brötchen;187;11,87;8,21;15,2;1,1
Roggenvollkornknäckebrot mit Kleie und Ölsamen;332;10,8;2,9;55,3;20,9
Schwein Schnitzel (Oberschale) tiefgefroren;106;22,2;1,9;0;0
Neuseeländer Spinat gekocht;18;1,8;0,2;1,11;2,2
Rind Filet/Lende, Rohpökelware, geräuchert;115;19,813;3,738;0,492;0
Waffeln (Rührmasse) glutenfrei ;392;5,91;20,24;45,9;1,223
Kräutertee (Getränk) mit Sahne 30 % Fett;10;0,077;1,057;0,109;0
Brosme/Lumb, gedünstet;66;15,446;0,524;0;0
Grobe Mettwurst;297;19,3;24,3;0,14;0,08
Kalb Unterschale/Schwanzstück, geschmort ohne Fett;106;24,946;0,738;0;0
Schwein Bauchspeck, Rohpökelware, geräuchert;304;16,58;26,22;0,492;0
Kalter Hund (Kekskuchen ohne Backen);492;4,41;30,7;47,9;2,95
Edelkastanie/Marone, gebraten ohne Fett (Pfanne);228;3,02;2,065;44,783;9,098
Ente Fleisch, mit Haut, gekocht;204;24,682;11,727;0;0
Kokoszwieback;450;7,6;14,9;69;4,83
Weizenvollkornbaguette;229;8,4;1,67;41;8,21
Knoblauch gekocht;101;6,188;0,43;3;29,905
Limabohne (Butterbohne, Mondbohne) reif, gekocht;130;8,1;0,569;16,9;11,2
Kaffee (Getränk) halb und halb, mit Milch 3,5 % Fett;31;1,84;1,74;2,01;0,15712
Preiselbeersaft;34;0,6188;0,424;5,608;0,289
Hammelsteak natur, gebraten;498;20,436;46,199;0;0
Gemüsesuppe püriert/Gemüsecremesuppe;32;0,86;1,2;4;0,8
Komprimate (Pastillen, Presslinge);404;0;0;93,6;0
Roggenmischbrot mit Nüssen;243;7,03;4,08;41;7,2
Maniok/Cassava, gebraten ohne Fett (Pfanne);166;1,136;0,261;38;3,284
Ofenkäse mit Knoblauch und Thymian gebacken;270;20,55;20,78;0;0,119
Schaf Keule, mittelfett, tiefgefroren;180;18,8;11,6;0;0
Cremeeis/Kremeis;171;4,3;9,31;17,53;0,003
